interest_rate,verified_income,debt_to_income,credit_util,public_record_bankrupt,term,issue_month,inquiries_last_12m
7.97,Source Verified,25.38,0.34,0,36,18-Feb,8
12.61,Source Verified,37.54,0.75,0,36,18-Mar,2
7.34,Source Verified,35.6,0.7,1,36,18-Mar,1
14.07,Not Verified,12.79,0.57,0,36,18-Mar,0
16.01,Source Verified,61.31,0.26,0,36,18-Mar,3
6.07,Source Verified,30.91,0.12,0,36,18-Mar,3
10.42,Verified,36.66,0.62,0,36,18-Mar,1
6.71,Not Verified,20.28,0.23,0,36,18-Mar,1
7.35,Not Verified,9.38,0.2,0,36,18-Jan,0
9.93,Not Verified,5.84,0.44,0,36,18-Jan,0
12.61,Not Verified,10.04,0.75,1,36,18-Mar,2
14.08,Not Verified,15.84,0.19,0,36,18-Jan,1
9.44,Not Verified,11.96,0.57,0,36,18-Feb,1
5.31,Source Verified,25.09,0.28,1,36,18-Mar,4
12.61,Source Verified,24.66,0.09,0,36,18-Mar,1
7.34,Verified,1.44,0.12,0,36,18-Mar,1
6.07,Not Verified,19.74,0.13,0,36,18-Mar,0
10.41,Verified,9.37,0.57,0,36,18-Mar,0
19.42,Source Verified,9.48,0.35,1,60,18-Mar,1
6.08,Source Verified,13.29,0.05,0,36,18-Jan,1
20,Source Verified,8.98,0.4,0,36,18-Jan,2
5.32,Not Verified,18.28,0.54,0,36,18-Feb,0
13.58,Verified,17.95,0.71,1,36,18-Mar,0
11.98,Source Verified,19.3,0.47,0,36,18-Mar,4
14.07,Not Verified,22.77,0.8,0,60,18-Mar,2
15.05,Source Verified,18.42,0.65,0,60,18-Feb,3
13.58,Verified,25.37,0.58,0,36,18-Mar,0
10.42,Verified,13.73,0.36,0,60,18-Jan,3
10.42,Verified,23.82,0.39,0,60,18-Feb,2
5.32,Source Verified,4.2,0.42,0,36,18-Jan,3
6.72,Verified,7.15,0.06,0,36,18-Jan,0
7.97,Verified,28.27,0.4,0,36,18-Feb,3
12.61,Source Verified,25.4,0.78,0,60,18-Mar,2
9.92,Source Verified,8.55,0.35,0,36,18-Mar,1
7.96,Not Verified,14.81,0.94,0,36,18-Mar,2
13.59,Source Verified,4.57,0.29,0,60,18-Jan,3
14.08,Source Verified,24.51,0.7,0,36,18-Jan,2
23.88,Verified,27.86,0.88,0,60,18-Feb,7
7.34,Not Verified,6.25,0.3,0,36,18-Mar,1
21.45,Source Verified,17.71,0.74,0,36,18-Jan,3
9.44,Not Verified,16.37,0.31,0,36,18-Jan,2
12.62,Verified,11.78,0.73,0,36,18-Jan,3
15.05,Source Verified,17.48,0.54,0,60,18-Feb,1
13.58,Verified,36.71,0.62,0,36,18-Mar,4
10.41,Verified,62.58,0.32,0,36,18-Mar,1
9.93,Source Verified,24.41,0.27,0,36,18-Jan,2
7.97,Not Verified,16.72,0.41,1,36,18-Jan,4
17.09,Source Verified,17.68,0.18,0,60,18-Feb,5
13.59,Source Verified,5.63,0.49,0,60,18-Jan,2
14.07,Source Verified,14.97,0.53,0,36,18-Mar,5
7.96,Source Verified,19.75,0.24,1,36,18-Mar,0
21.45,Source Verified,23.49,0.5,0,60,18-Feb,1
9.43,Not Verified,16.51,0.44,0,60,18-Mar,2
9.44,Verified,12.34,0.24,0,36,18-Feb,2
16.01,Verified,38.64,0.27,1,36,18-Mar,5
7.97,Not Verified,28.81,0.31,0,36,18-Feb,3
23.88,Verified,10.66,0.13,0,60,18-Jan,5
19.42,Source Verified,18.33,0.59,0,60,18-Feb,0
10.41,Source Verified,26.25,0.77,0,36,18-Mar,1
19.03,Verified,27.52,0.74,0,60,18-Jan,4
17.47,Verified,18.4,0.63,0,36,18-Mar,1
10.91,Not Verified,13.01,0.65,0,36,18-Jan,1
11.99,Source Verified,33.5,0.89,1,36,18-Feb,11
10.91,Not Verified,15.16,0.62,0,36,18-Feb,2
9.93,Source Verified,27.77,0.51,0,36,18-Jan,1
14.07,Not Verified,28.13,0.38,0,36,18-Mar,0
7.34,Not Verified,25.15,0.22,0,36,18-Mar,1
7.97,Verified,7.81,0.43,0,36,18-Jan,4
9.92,Not Verified,20.7,0.84,0,36,18-Feb,2
13.59,Source Verified,4.32,0.48,0,60,18-Jan,0
11.98,Source Verified,27.88,0.29,0,36,18-Mar,2
21.45,Verified,26.25,0.22,0,60,18-Mar,0
19.03,Verified,20.93,0.21,0,60,18-Feb,3
7.96,Source Verified,17.05,0.14,0,36,18-Mar,4
19.03,Verified,25.37,0.21,0,36,18-Feb,3
16.01,Verified,11.43,0.34,0,60,18-Feb,3
12.62,Not Verified,8.59,0.18,1,60,18-Feb,3
5.31,Not Verified,9.31,0.08,0,36,18-Feb,1
18.45,Verified,1.08,0.07,0,60,18-Mar,0
11.99,Not Verified,10.08,0.19,0,36,18-Feb,3
15.04,Verified,25.67,0.59,0,36,18-Mar,2
12.62,Source Verified,19.13,0.97,0,36,18-Jan,0
6.08,Verified,5.58,0.05,0,36,18-Jan,2
5.32,Verified,14.79,0.11,0,36,18-Feb,1
20,Source Verified,34.44,0.69,0,60,18-Feb,0
9.92,Not Verified,4.2,0.04,0,60,18-Mar,4
17.47,Source Verified,2.76,0.78,0,60,18-Feb,0
21.45,Source Verified,1.71,0.02,0,36,18-Feb,0
13.58,Not Verified,19.41,0.38,0,36,18-Mar,6
21.45,Source Verified,16.57,0.15,0,60,18-Jan,2
16.01,Verified,20.87,0.68,0,36,18-Mar,4
15.04,Source Verified,7.79,0.08,0,60,18-Mar,1
20,Not Verified,15.71,0.73,1,36,18-Jan,0
14.07,Source Verified,23.49,0.29,0,36,18-Mar,2
10.9,Source Verified,11.56,0.65,0,60,18-Mar,0
17.09,Source Verified,22.29,0.62,0,60,18-Jan,4
7.34,Verified,8.36,0.03,0,60,18-Mar,1
7.96,Source Verified,17.35,0.63,0,36,18-Mar,0
6.07,Not Verified,7.08,0.07,0,36,18-Mar,2
6.08,Source Verified,12.73,0.38,0,36,18-Jan,8
10.9,Verified,13.64,0.32,0,60,18-Mar,2
10.42,Source Verified,10.3,0.04,0,60,18-Feb,0
13.58,Source Verified,11.63,0.2,0,60,18-Mar,6
16.02,Source Verified,10.76,0.07,0,36,18-Jan,4
7.97,Not Verified,12.13,0.1,0,36,18-Jan,3
11.99,Not Verified,17.12,0.47,0,36,18-Jan,6
17.09,Source Verified,24.37,0.13,0,60,18-Jan,4
6.08,Verified,0.21,0,0,36,18-Jan,1
9.44,Source Verified,16.61,0.13,0,36,18-Jan,0
5.32,Not Verified,26.54,0.2,0,36,18-Jan,0
9.93,Source Verified,3.63,0.25,0,36,18-Jan,0
15.05,Source Verified,33.98,0.74,0,60,18-Jan,1
14.07,Source Verified,6.73,0.11,0,36,18-Feb,9
10.42,Not Verified,17.07,0.92,0,36,18-Jan,1
12.62,Verified,36.5,0.73,1,36,18-Jan,0
14.07,Not Verified,11.87,0.2,0,36,18-Mar,2
14.07,Not Verified,29.87,0.15,0,36,18-Mar,0
6.08,Not Verified,38.37,0.15,0,36,18-Jan,2
9.44,Source Verified,9.91,0.42,0,36,18-Feb,0
19.42,Not Verified,25.9,0.2,0,36,18-Mar,4
20,Verified,20.78,0.39,0,36,18-Jan,0
14.07,Source Verified,14.81,0.29,0,60,18-Mar,3
9.93,Not Verified,21.65,0.07,0,36,18-Feb,1
16.01,Source Verified,33.64,0.15,0,36,18-Feb,6
16.01,Source Verified,16.56,0.5,0,60,18-Feb,1
15.05,Verified,35.41,0.72,0,36,18-Jan,0
13.58,Verified,35.11,0.25,0,36,18-Mar,0
10.42,Source Verified,10.02,0.47,0,60,18-Feb,0
12.62,Source Verified,11.84,0.17,0,60,18-Jan,0
12.62,Source Verified,28.78,0.61,0,36,18-Jan,2
6.08,Not Verified,31.72,0.68,0,36,18-Jan,1
18.06,Verified,37.51,0.57,1,36,18-Feb,1
10.42,Not Verified,21.28,0.43,1,36,18-Feb,3
10.9,Verified,39.27,0.33,0,60,18-Mar,0
7.96,Not Verified,17.88,0.85,0,36,18-Feb,7
9.93,Not Verified,9.35,0.57,0,36,18-Feb,0
9.93,Source Verified,4.12,0.13,0,36,18-Jan,0
15.05,Source Verified,23.24,0.21,0,36,18-Jan,1
9.43,Source Verified,15.45,0.53,0,36,18-Mar,0
10.9,Source Verified,8.28,1.66,0,36,18-Feb,1
10.42,Source Verified,7.26,0.13,0,36,18-Jan,6
7.97,Source Verified,11.27,0.27,0,36,18-Jan,2
5.31,Not Verified,22.03,0.45,0,36,18-Mar,0
7.35,Not Verified,21.83,0.46,0,36,18-Jan,1
5.31,Not Verified,6.17,0.24,0,36,18-Mar,0
16.02,Source Verified,5.52,0.24,0,36,18-Jan,3
6.72,Not Verified,7.74,0.07,0,36,18-Jan,0
17.47,Source Verified,2.5,0.61,0,60,18-Mar,0
9.43,Not Verified,13.72,0.16,0,36,18-Mar,1
15.04,Not Verified,21.75,0.6,0,36,18-Mar,0
7.96,Source Verified,17.98,0.18,0,36,18-Feb,0
19.03,Verified,46.08,0.33,0,60,18-Feb,5
5.32,Not Verified,5.9,0.06,0,36,18-Feb,1
13.58,Verified,25.52,0.23,0,60,18-Mar,3
10.9,Source Verified,17.68,0.49,0,36,18-Mar,1
11.99,Not Verified,9.3,0.41,0,36,18-Feb,2
7.96,Not Verified,24.1,0.15,0,36,18-Mar,3
15.04,Not Verified,4.85,0.06,0,36,18-Feb,1
7.34,Not Verified,16.4,0.18,0,36,18-Mar,2
9.43,Not Verified,9.95,0.16,1,36,18-Mar,0
9.92,Verified,40.71,0.34,0,36,18-Mar,0
7.34,Source Verified,27.69,0.66,0,36,18-Mar,2
20,Source Verified,32.23,0.68,0,60,18-Jan,0
24.85,Verified,34.91,0.79,0,60,18-Jan,1
14.07,Not Verified,37.52,0.63,0,60,18-Mar,1
10.91,Source Verified,19.73,0.07,0,60,18-Feb,3
10.41,Source Verified,7.32,0.64,0,36,18-Mar,1
12.62,Source Verified,7.02,0.27,0,60,18-Jan,2
10.42,Source Verified,5.09,0.08,0,60,18-Jan,0
6.71,Source Verified,9.32,0.16,0,36,18-Mar,1
7.97,Verified,19.11,0.64,0,36,18-Jan,9
7.97,Not Verified,18.27,0.61,0,36,18-Jan,1
13.58,Source Verified,24.81,0.17,0,60,18-Feb,2
5.32,Not Verified,7.23,0.29,0,36,18-Feb,1
15.04,Not Verified,20.63,0.58,1,36,18-Feb,17
9.43,Not Verified,19.78,0.15,0,36,18-Mar,1
14.08,Source Verified,20.21,0.5,0,36,18-Jan,4
9.44,Not Verified,15.07,0.67,0,36,18-Jan,1
18.06,Verified,2.08,0.07,0,60,18-Jan,1
26.3,Verified,15.34,1.17,0,60,18-Feb,0
7.34,Source Verified,13.2,0.01,0,36,18-Mar,0
5.32,Not Verified,4.25,0.18,0,36,18-Jan,2
19.03,Not Verified,25.84,0.8,0,60,18-Jan,7
15.05,Source Verified,26.03,0.11,0,36,18-Jan,1
10.91,Not Verified,10.24,0.24,0,36,18-Feb,3
6.72,Not Verified,17.34,0.14,0,36,18-Feb,1
12.61,Source Verified,18.16,0.2,0,36,18-Feb,3
16.02,Verified,27.91,0.64,1,36,18-Feb,4
12.62,Source Verified,18.71,0.82,0,36,18-Jan,1
10.9,Not Verified,18.23,0.11,0,60,18-Mar,0
16.02,Verified,11.94,0.1,0,36,18-Jan,1
9.44,Not Verified,8.15,0.66,1,36,18-Feb,0
21.45,Not Verified,21.76,0.43,0,60,18-Jan,1
9.43,Source Verified,3.52,0.05,0,36,18-Mar,2
19.42,Source Verified,16.03,0.07,0,36,18-Feb,3
5.32,Not Verified,23.66,0.43,0,36,18-Jan,1
10.91,Not Verified,14.15,0.33,0,36,18-Jan,3
6.72,Not Verified,16.39,0.16,0,36,18-Feb,0
7.35,Not Verified,5,0.21,0,36,18-Feb,0
10.91,Source Verified,21.64,0.5,0,36,18-Jan,9
28.72,Source Verified,15.25,0.76,0,60,18-Jan,3
13.59,Verified,49.99,0.34,0,36,18-Mar,0
10.42,Source Verified,12,0.05,0,36,18-Jan,2
5.31,Not Verified,10.24,0.31,0,36,18-Feb,1
14.08,Not Verified,17.57,0.58,0,36,18-Feb,4
6.08,Not Verified,29.68,0.65,0,36,18-Jan,5
9.44,Not Verified,16.44,0.51,1,36,18-Feb,3
9.44,Not Verified,18.07,0.5,0,36,18-Jan,1
13.59,Verified,59.68,0.26,0,36,18-Jan,0
12.61,Not Verified,7.23,0.52,0,60,18-Mar,0
10.42,Source Verified,25.14,0.26,1,60,18-Feb,1
23.88,Verified,27.48,0.87,0,36,18-Jan,0
12.61,Source Verified,38.75,0.44,0,36,18-Mar,4
15.05,Verified,53.39,0.27,0,36,18-Jan,1
10.91,Source Verified,11.83,0.06,0,36,18-Feb,0
6.71,Source Verified,13.46,0.05,1,36,18-Mar,0
15.05,Source Verified,10.1,0.68,0,60,18-Jan,13
12.62,Source Verified,37.23,0.62,0,36,18-Jan,1
7.97,Verified,22.47,0.08,0,36,18-Feb,1
15.04,Source Verified,11.04,0.59,0,60,18-Mar,5
22.9,Source Verified,24.72,0.36,0,36,18-Feb,2
11.98,Source Verified,9.84,0.4,0,60,18-Mar,2
16.02,Source Verified,28.24,0.8,0,36,18-Jan,11
7.34,Not Verified,32.52,0.11,1,36,18-Feb,2
11.99,Verified,30.51,0.52,0,36,18-Feb,1
20.39,Verified,27.1,0.5,1,36,18-Mar,3
7.34,Not Verified,10.7,0.09,0,60,18-Mar,2
6.08,Source Verified,21.06,0.75,0,36,18-Jan,0
13.58,Verified,10.75,0.54,0,60,18-Mar,1
6.08,Not Verified,3.41,0.08,0,36,18-Feb,1
14.08,Verified,25.89,0.27,0,60,18-Jan,2
10.9,Source Verified,23.52,0.17,1,60,18-Mar,0
18.06,Not Verified,12.91,0.5,0,60,18-Feb,1
12.61,Source Verified,8.91,0.28,0,60,18-Mar,0
13.59,Source Verified,32.25,0.27,0,60,18-Jan,0
7.97,Verified,10.67,0.1,0,36,18-Feb,1
12.61,Source Verified,23.08,0.66,1,60,18-Feb,1
7.96,Source Verified,11.5,0.24,0,36,18-Mar,0
17.47,Not Verified,25.36,0.5,0,36,18-Mar,12
6.07,Not Verified,14.82,0.16,0,36,18-Mar,1
12.62,Source Verified,16.91,0.08,0,36,18-Feb,4
9.92,Not Verified,4.96,0.32,0,36,18-Mar,0
11.99,Source Verified,16.11,0.09,0,60,18-Jan,2
7.34,Source Verified,19.46,0.85,1,36,18-Mar,1
16.01,Source Verified,25.32,0.55,0,36,18-Mar,2
15.05,Source Verified,22.12,1.12,0,60,18-Feb,2
16.01,Source Verified,7.84,0.15,0,60,18-Mar,1
9.44,Source Verified,25.7,0.16,1,36,18-Feb,14
9.92,Not Verified,5.07,0.35,1,60,18-Mar,1
13.59,Not Verified,7.5,0.5,0,36,18-Feb,0
15.04,Source Verified,3.29,0.4,0,60,18-Mar,4
20.39,Verified,18.34,0.19,0,36,18-Mar,4
6.08,Not Verified,48.23,0.69,0,36,18-Jan,1
19.42,Source Verified,30.24,0.4,1,36,18-Mar,3
19.42,Source Verified,13.38,0.97,0,36,18-Feb,0
9.44,Verified,14.52,0.17,0,36,18-Jan,5
14.07,Source Verified,27.02,0.29,1,36,18-Feb,0
9.44,Verified,13.33,0.54,0,36,18-Jan,1
9.92,Source Verified,35.8,0.4,0,36,18-Mar,1
7.34,Source Verified,22.06,0.19,0,36,18-Mar,0
6.08,Source Verified,21.13,0.19,0,36,18-Feb,13
9.92,Not Verified,16.82,0.44,0,36,18-Mar,3
14.08,Source Verified,7.94,0.28,0,60,18-Jan,6
18.06,Verified,14.1,0.12,0,36,18-Feb,6
19.03,Source Verified,11.21,0.15,1,36,18-Jan,1
19.03,Source Verified,22.56,0.86,0,36,18-Feb,0
9.93,Not Verified,11.78,0.61,0,36,18-Jan,3
11.99,Source Verified,16.14,0.96,0,60,18-Jan,0
7.34,Source Verified,4.75,0.03,0,60,18-Mar,0
7.35,Source Verified,57.68,0.11,0,36,18-Feb,3
12.61,Not Verified,9.93,0.14,0,36,18-Mar,5
10.91,Source Verified,25.86,0.36,0,36,18-Feb,0
21.45,Verified,23.46,0.11,1,36,18-Jan,1
9.44,Source Verified,5.81,0.72,0,36,18-Jan,0
12.62,Verified,20.93,0.25,0,36,18-Feb,2
13.58,Not Verified,34.38,1.25,0,36,18-Mar,1
16.02,Source Verified,57.24,0.41,0,36,18-Feb,1
21.45,Not Verified,30.73,0.95,0,36,18-Jan,3
6.71,Source Verified,16.28,0.1,0,36,18-Mar,5
14.08,Source Verified,21.66,0.55,1,60,18-Jan,1
12.61,Not Verified,5.7,0.09,0,36,18-Mar,10
6.08,Not Verified,17.69,0.56,0,36,18-Feb,4
9.92,Not Verified,16.77,0.84,0,60,18-Mar,0
5.31,Not Verified,11.68,0.12,1,36,18-Mar,1
20.39,Source Verified,21.19,0.84,0,36,18-Mar,11
13.59,Source Verified,5.03,0.06,0,36,18-Feb,4
9.93,Verified,33.97,0.46,0,36,18-Mar,1
20,Verified,21.34,0.26,0,60,18-Jan,5
14.07,Verified,1.43,0.28,0,36,18-Mar,2
11.99,Not Verified,14.89,0.68,0,36,18-Jan,0
14.08,Verified,20.24,0.53,0,60,18-Feb,3
21.45,Verified,31.03,0.57,0,36,18-Feb,0
9.44,Source Verified,18.22,0.2,0,36,18-Jan,0
18.45,Verified,20.14,0.19,1,36,18-Mar,8
10.9,Not Verified,27.54,0.55,0,36,18-Mar,3
11.99,Not Verified,10.99,0.14,0,36,18-Jan,3
6.71,Verified,17.97,0.25,0,36,18-Mar,0
6.72,Source Verified,13.41,0.66,0,36,18-Jan,4
6.08,Source Verified,2.01,0.04,0,36,18-Jan,2
24.84,Source Verified,9.73,0.06,0,60,18-Mar,0
21.45,Verified,9.55,0.42,0,36,18-Jan,1
17.47,Verified,38.24,0.43,1,36,18-Mar,2
6.72,Verified,8.1,0.04,0,36,18-Jan,2
14.07,Verified,28.54,0.08,0,36,18-Feb,0
16.02,Source Verified,35.49,0.4,0,60,18-Jan,1
12.62,Verified,5.06,0.64,0,36,18-Feb,0
13.58,Not Verified,NA,0.5,0,36,18-Mar,0
5.31,Not Verified,16.49,0.31,0,36,18-Feb,0
12.62,Not Verified,21.43,0.61,0,36,18-Jan,1
13.58,Not Verified,16.05,0.92,0,36,18-Mar,0
15.05,Not Verified,10.85,0.68,0,36,18-Jan,0
9.92,Source Verified,46.29,0.78,0,60,18-Mar,2
9.44,Source Verified,21.72,0.21,0,36,18-Feb,0
15.05,Source Verified,18.03,0.32,0,36,18-Jan,0
12.62,Not Verified,14.08,0.66,0,36,18-Jan,2
9.44,Source Verified,3.43,0.02,0,36,18-Jan,0
15.05,Not Verified,NA,0.29,0,36,18-Feb,1
7.35,Verified,4.1,0.04,0,36,18-Feb,3
11.99,Source Verified,18.61,0.22,0,60,18-Feb,10
10.9,Verified,22.33,0.44,0,36,18-Mar,0
9.43,Source Verified,22.35,0.4,0,36,18-Mar,1
10.42,Source Verified,14.7,0.58,0,36,18-Feb,1
12.62,Not Verified,25.39,0.22,0,60,18-Jan,1
12.61,Not Verified,18.18,0.33,0,36,18-Mar,0
14.08,Verified,27.52,0.21,0,60,18-Jan,0
15.05,Not Verified,14.62,0.77,0,60,18-Jan,1
9.93,Not Verified,11.29,0.7,0,36,18-Jan,0
9.92,Not Verified,26.73,0.29,0,60,18-Mar,1
9.44,Source Verified,21.08,0.79,0,36,18-Feb,0
18.06,Source Verified,5.85,1.02,3,36,18-Feb,3
10.91,Not Verified,29.84,0.52,0,36,18-Feb,2
21.85,Source Verified,4.95,0.62,0,60,18-Feb,1
25.82,Source Verified,32.18,0.74,0,36,18-Feb,0
9.92,Source Verified,16.45,0.18,0,36,18-Mar,1
20,Source Verified,6.2,0.76,1,60,18-Jan,3
7.97,Not Verified,24.89,0.25,0,36,18-Jan,3
14.08,Source Verified,7.73,0.68,1,36,18-Jan,4
12.62,Not Verified,22.9,0.31,0,60,18-Jan,0
10.42,Verified,21.77,0.63,0,60,18-Feb,1
18.45,Source Verified,0.6,0.21,0,60,18-Mar,4
13.59,Not Verified,5.65,0.33,1,36,18-Jan,1
6.08,Verified,17.53,0.3,0,36,18-Feb,0
21.45,Verified,29.23,0.67,0,60,18-Feb,0
10.42,Verified,10.56,0.42,0,36,18-Feb,1
10.91,Verified,13.79,0.08,0,36,18-Jan,3
16.02,Source Verified,18.47,0.18,0,36,18-Feb,0
17.09,Source Verified,7.52,0.14,0,36,18-Jan,15
9.44,Not Verified,40.42,0.41,0,36,18-Jan,3
16.02,Verified,45.83,0.71,0,60,18-Jan,1
13.58,Source Verified,26.79,0.56,0,36,18-Mar,3
7.35,Source Verified,7.01,0.16,0,36,18-Feb,2
9.43,Not Verified,30.62,0.41,0,36,18-Mar,0
11.98,Source Verified,11.9,0.11,0,36,18-Mar,4
11.98,Source Verified,16.11,0.79,0,60,18-Mar,0
10.91,Source Verified,6.7,0.37,0,36,18-Feb,0
13.59,Source Verified,9.23,1.05,0,36,18-Jan,1
10.9,Not Verified,23.02,0.11,0,60,18-Mar,1
18.45,Source Verified,21.41,0.08,0,60,18-Mar,3
13.59,Verified,16.2,0.1,0,60,18-Jan,0
18.06,Source Verified,24.47,0.92,0,36,18-Feb,3
6.72,Not Verified,12.5,0.56,0,36,18-Feb,1
10.42,Verified,28.98,0.15,0,60,18-Jan,0
10.42,Not Verified,17.36,0.49,0,36,18-Jan,3
7.97,Verified,16.73,0.1,0,36,18-Feb,7
19.42,Verified,34.63,0.56,0,36,18-Mar,2
6.08,Verified,32.66,0.27,0,36,18-Jan,1
5.31,Verified,5.62,0.52,0,36,18-Mar,4
13.59,Verified,21.57,0.33,1,36,18-Feb,2
10.91,Source Verified,22.5,0.8,0,36,18-Jan,1
12.61,Verified,9.23,0.17,0,60,18-Mar,2
13.59,Source Verified,37.32,0.24,0,36,18-Jan,3
18.06,Source Verified,14.96,0.12,0,36,18-Jan,4
10.9,Verified,9.32,0.03,0,36,18-Mar,10
20,Verified,33.77,0.55,0,36,18-Feb,0
7.34,Verified,18.87,0.14,0,36,18-Mar,0
5.31,Verified,7.02,0.14,0,36,18-Mar,2
16.01,Source Verified,24.8,0.75,0,36,18-Mar,1
16.01,Source Verified,5.85,0.26,0,36,18-Mar,0
11.99,Verified,25.94,0.25,0,60,18-Jan,4
9.44,Not Verified,17.7,0.41,0,36,18-Feb,3
16.01,Not Verified,11.29,0.54,0,36,18-Mar,0
10.41,Not Verified,22.81,0.21,0,36,18-Mar,2
24.85,Verified,28.5,0.67,0,60,18-Jan,1
9.92,Not Verified,5.47,0.77,0,36,18-Mar,0
10.91,Source Verified,8.94,0.79,0,36,18-Feb,7
6.71,Not Verified,13.49,0.05,0,36,18-Mar,4
6.08,Not Verified,30.69,0.71,0,36,18-Feb,2
6.72,Not Verified,10.17,0.16,0,36,18-Feb,1
10.42,Not Verified,10.94,0.65,0,36,18-Feb,1
7.35,Verified,26.7,0.26,0,36,18-Feb,0
17.47,Source Verified,12.99,1.2,0,36,18-Feb,5
11.99,Not Verified,24.77,0.28,0,60,18-Jan,1
15.05,Verified,21.6,0.9,0,36,18-Feb,2
20.39,Verified,21.36,0.89,0,60,18-Mar,2
9.44,Not Verified,25.36,0.7,0,36,18-Jan,7
5.31,Not Verified,2.09,0.01,0,36,18-Mar,0
12.61,Not Verified,20.5,0.78,0,36,18-Mar,1
7.34,Not Verified,18.58,0.12,0,36,18-Mar,1
25.82,Verified,28.77,0.62,0,60,18-Jan,2
18.06,Not Verified,14.93,0.57,0,36,18-Jan,1
9.43,Not Verified,14.07,0.17,0,36,18-Mar,5
6.07,Verified,24.17,0.36,1,36,18-Mar,1
20,Verified,59.29,0.23,0,60,18-Jan,0
7.34,Verified,28.84,0.18,0,60,18-Feb,0
10.42,Not Verified,9.76,1.25,0,36,18-Feb,3
11.99,Verified,21.42,0.13,0,60,18-Jan,0
7.96,Not Verified,16.36,0.05,0,36,18-Mar,0
7.34,Not Verified,6.71,0.28,0,36,18-Mar,0
20,Verified,14.64,0.9,0,60,18-Feb,0
18.45,Verified,7.22,0.56,0,36,18-Mar,1
9.92,Verified,21.76,1.09,1,36,18-Mar,3
12.61,Source Verified,19.81,0.21,0,60,18-Mar,0
11.99,Source Verified,25.36,0.94,1,36,18-Jan,22
13.58,Not Verified,18.43,0.96,1,60,18-Mar,4
13.58,Not Verified,21.65,0.32,0,36,18-Mar,0
9.44,Not Verified,12.78,0.49,0,36,18-Feb,0
7.96,Source Verified,4.55,0.16,0,36,18-Mar,3
26.77,Source Verified,31.9,0.1,1,60,18-Mar,0
9.92,Not Verified,19.71,0.37,0,36,18-Mar,0
14.07,Not Verified,19.58,0.18,0,60,18-Mar,0
6.07,Source Verified,20.99,0.28,0,36,18-Mar,4
16.01,Not Verified,14.37,0.69,0,36,18-Mar,2
13.58,Verified,22.48,0.52,1,60,18-Mar,0
10.9,Not Verified,27.93,0.31,0,60,18-Mar,1
13.58,Not Verified,16.97,0.38,0,36,18-Feb,1
20,Verified,6.7,0.03,0,60,18-Jan,7
10.41,Source Verified,9.55,0.64,0,36,18-Mar,1
6.72,Source Verified,30.49,0.29,0,36,18-Jan,1
18.06,Verified,34.53,0.64,0,36,18-Jan,4
9.93,Not Verified,16.28,0.1,1,36,18-Jan,2
9.93,Not Verified,7.4,1.18,0,36,18-Feb,1
12.62,Source Verified,14.64,0.74,0,36,18-Jan,2
13.58,Source Verified,16.11,0.39,0,36,18-Mar,2
15.05,Source Verified,18.8,0.81,0,36,18-Feb,0
9.93,Source Verified,7.11,0.45,0,36,18-Jan,1
12.61,Verified,13.25,0.18,1,36,18-Mar,1
10.42,Source Verified,25.69,0.15,0,60,18-Feb,2
17.09,Source Verified,17.85,0.68,0,36,18-Feb,4
7.97,Not Verified,26.89,0.71,0,36,18-Feb,0
18.06,Source Verified,17.01,0.44,0,36,18-Feb,0
12.61,Source Verified,12.57,0.06,0,60,18-Mar,0
6.07,Verified,26.54,0.26,0,36,18-Feb,1
9.93,Source Verified,26.31,0.31,0,60,18-Feb,5
5.31,Not Verified,11.71,0.46,0,36,18-Mar,0
15.04,Not Verified,32.54,0.47,0,36,18-Mar,0
13.59,Source Verified,18.89,0.19,0,36,18-Jan,4
10.91,Verified,180.71,0.37,1,36,18-Jan,1
7.96,Source Verified,15.5,0.45,0,36,18-Mar,2
21.45,Source Verified,26,0.61,0,36,18-Jan,7
16.01,Verified,1.29,0.02,0,36,18-Mar,5
16.02,Not Verified,28.21,0.67,1,36,18-Jan,0
12.62,Source Verified,18.7,1.06,0,36,18-Feb,7
15.04,Source Verified,29.22,0.84,0,36,18-Mar,2
13.58,Source Verified,27.12,0.58,0,60,18-Mar,0
6.71,Not Verified,17.6,0.2,0,36,18-Mar,0
9.93,Not Verified,17.75,0.62,0,60,18-Jan,0
15.05,Source Verified,11.82,0.06,0,60,18-Feb,1
9.43,Not Verified,4.21,0.07,0,36,18-Mar,1
11.99,Not Verified,10.69,0.77,0,60,18-Mar,0
9.93,Source Verified,12.84,0.67,1,60,18-Jan,1
11.98,Source Verified,16.25,0.64,0,60,18-Mar,3
17.09,Source Verified,17.3,0.68,0,60,18-Feb,0
9.44,Source Verified,36.86,0.27,0,36,18-Jan,4
9.93,Source Verified,34.19,0.56,0,36,18-Feb,1
20,Verified,22.8,0.87,0,60,18-Feb,1
5.31,Not Verified,8.8,0.17,0,36,18-Feb,4
12.62,Source Verified,26.4,0.7,1,36,18-Jan,0
23.88,Verified,32.58,0.37,0,60,18-Jan,0
7.34,Source Verified,30.69,0.67,0,36,18-Mar,1
7.34,Not Verified,9.15,0.3,0,36,18-Mar,1
7.96,Not Verified,12.99,0.35,0,36,18-Mar,8
9.43,Source Verified,2.94,0,0,60,18-Mar,0
15.04,Verified,23.99,0.16,0,36,18-Mar,1
11.99,Not Verified,23.41,0.36,0,36,18-Feb,0
